TrisCalDate,X.Intercept.,TTris,date,SampleID,TA,Mass,mV,TempInSitu,Salinity_lab,Sampling_Date,mVTris,pH,flag,S,T,Patm,P,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
4/8/2024,-104.4242455,1.41303985,20240408,1,0.002657303,60.2802,-13.9,19.79,35.33,4/8/2024,-77.09322876,7.184706814,8,35.33,19.79,1,0,0.000131164,4031.015917,4044.832631,4031.015917,4044.832631,4031.015917,4044.832846,0.002572452,3.53E-05,2738.962366,2657.303,0.548084487,0.843346794
4/8/2024,-104.4242455,1.41303985,20240408,2,0.002650941,60.1714,-26.8,20.076,35.35,4/8/2024,-77.63866214,7.408902739,8,35.35,20.076,1,0,7.59E-05,2351.765287,2359.782409,2351.765287,2359.782409,2351.765287,2359.782481,0.002510482,5.85E-05,2644.848072,2650.941,0.907193744,1.394834851
4/8/2024,-104.4242455,1.41303985,20240408,3,0.002641691,60.3716,-43.2,16.18,35.31,4/8/2024,-78.00040034,7.69325202,8,35.31,16.18,1,0,4.14E-05,1146.662635,1150.761807,1146.662635,1150.761807,1146.662635,1150.761825,0.00241617,9.33E-05,2550.90343,2641.691,1.431275199,2.221811731
4/8/2024,-104.4242455,1.41303985,20240408,4,0.002644323,59.947,-28.4,20.008,35.23,4/8/2024,-77.64714038,7.436253317,8,35.23,20.008,1,0,7.10E-05,2195.486002,2202.975385,2195.486002,2202.975385,2195.486002,2202.975448,0.002496331,6.16E-05,2628.954223,2644.323,0.956117913,1.470578748
4/8/2024,-104.4242455,1.41303985,20240408,5,0.002642017,60.2337,-35.2,20.095,35.28,4/8/2024,-77.60616222,7.553540887,8,35.28,20.095,1,0,5.31E-05,1645.98516,1651.590499,1645.98516,1651.590499,1645.98516,1651.590534,0.002450756,7.95E-05,2583.424556,2642.017,1.235131445,1.899148859
4/8/2024,-104.4242455,1.41303985,20240408,6,0.002637788,59.7498,-22.4,16.092,35.23,4/8/2024,-77.32214121,7.331675124,8,35.23,16.092,1,0,0.000100125,2765.411567,2775.32638,2765.411567,2775.32638,2765.411567,2775.326489,0.002535421,4.24E-05,2677.927108,2637.788,0.649985624,1.009310305
4/8/2024,-104.4242455,1.41303985,20240408,7,0.0026409,59.8106,-37.6,16.076,35.25,4/8/2024,-77.71779237,7.595308223,8,35.25,16.076,1,0,5.29E-05,1461.232137,1466.464562,1461.232137,1466.464562,1461.232137,1466.464593,0.002458724,7.54E-05,2587.054185,2640.9,1.156277401,1.795502816
4/8/2024,-104.4242455,1.41303985,20240408,8,0.002649127,59.6095,-28.4,16.189,35.23,4/8/2024,-78.01029162,7.43752454,8,35.23,16.189,1,0,7.78E-05,2154.587243,2162.297374,2154.587243,2162.297374,2154.587243,2162.29744,0.002518957,5.39E-05,2650.669686,2649.127,0.827275124,1.284326339
4/8/2024,-104.4242455,1.41303985,20240408,9,0.002649314,60.0568,-42,20.109,35.29,4/8/2024,-77.98203082,7.672407593,8,35.29,20.109,1,0,3.96E-05,1227.376693,1231.553772,1227.376693,1231.553772,1227.376693,1231.553792,0.002402654,0.000102614,2544.861699,2649.314,1.593284315,2.449721852
4/8/2024,-104.4242455,1.41303985,20240408,10,0.002652139,59.9723,-30.3,16.18,35.27,4/8/2024,-78.10496529,7.470769295,8,35.27,16.18,1,0,7.18E-05,1989.934122,1997.054554,1989.934122,1997.054554,1989.934122,1997.054611,0.002511929,5.81E-05,2641.860632,2652.139,0.890883663,1.383025185
4/8/2024,-104.4242455,1.41303985,20240408,11,0.002644707,60.0264,-39.7,20.177,35.26,4/8/2024,-77.7827922,7.631828982,8,35.26,20.177,1,0,4.37E-05,1356.968193,1361.583077,1356.968193,1361.583077,1356.968193,1361.583101,0.002418162,9.42E-05,2556.101242,2644.707,1.463877395,2.25045405
4/8/2024,-104.4242455,1.41303985,20240408,12,0.002652781,59.9269,-19.2,16.038,35.31,4/8/2024,-77.39561928,7.276925077,8,35.31,16.038,1,0,0.000114824,3167.738952,3179.109055,3167.738952,3179.109055,3167.738952,3179.109199,0.002561701,3.77E-05,2714.265876,2652.781,0.578457107,0.898245362
4/8/2024,-104.4242455,1.41303985,20240408,13,0.00264464,60.0644,-66.7,20.191,35.39,4/8/2024,-77.38007585,8.096081218,8,35.39,20.191,1,0,1.29E-05,399.8175297,401.1755522,399.8175297,401.1755522,399.8175297,401.1755542,0.002075537,0.000236398,2324.796588,2644.64,3.669375533,5.63973645
4/8/2024,-104.4242455,1.41303985,20240408,14,0.002657641,60.2151,-58.9,16.083,35.36,4/8/2024,-77.57507535,7.962451299,8,35.36,16.083,1,0,2.09E-05,578.1137821,580.1816931,578.1137821,580.1816931,578.1137821,580.1816979,0.002265882,0.000162285,2449.089215,2657.641,2.487024218,3.861257351
4/8/2024,-104.4242455,1.41303985,20240408,15,0.002653007,60.3568,-69.7,16.391,35.27,4/8/2024,-77.99333514,8.150731602,8,35.27,16.391,1,0,1.24E-05,346.4810226,347.7152461,346.4810226,347.7152461,346.4810226,347.7152478,0.002090241,0.000233205,2335.877172,2653.007,3.578712173,5.552989331
4/8/2024,-104.4242455,1.41303985,20240408,17,0.002647377,59.6878,-60.6,20.215,35.24,4/8/2024,-77.86898763,7.992917964,8,35.24,20.215,1,0,1.71E-05,532.3490868,534.1569984,532.3490868,534.1569984,532.3490868,534.1570021,0.002178087,0.000195134,2390.348978,2647.377,3.031911532,4.660705061
4/8/2024,-104.4242455,1.41303985,20240408,18,0.002649701,59.7554,-57.9,16.028,35.22,4/8/2024,-77.35040201,7.943805777,8,35.22,16.028,1,0,2.20E-05,605.83754,608.006195,605.83754,608.006195,605.83754,608.0062003,0.002274855,0.000155257,2452.090295,2649.701,2.380806945,3.697552089
4/8/2024,-104.4242455,1.41303985,20240408,19,0.002646052,60.0113,-58.8,20.183,35.24,4/8/2024,-76.71736016,7.956349634,8,35.24,20.183,1,0,1.89E-05,587.2269982,589.2221986,587.2269982,589.2221986,587.2269982,589.2222031,0.002209043,0.000181707,2409.660258,2646.052,2.82296778,4.339877672
4/15/2024,-105.0248846,1.432307725,20240415,1,0.002542279,60.1808,-25.9,19.849,35.59,4/15/2024,-76.23406698,7.384760086,8,35.59,19.849,1,0,7.74E-05,2385.74127,2393.897533,2385.74127,2393.897533,2385.74127,2393.897608,0.002413878,5.30E-05,2544.273864,2542.279,0.82071331,1.262186337
4/15/2024,-105.0248846,1.432307725,20240415,2,0.002546168,59.9873,-32.3,19.986,35.59,4/15/2024,-76.53771622,7.495779325,8,35.59,19.986,1,0,5.90E-05,1824.576552,1830.799764,1824.576552,1830.799764,1824.576552,1830.799808,0.002381754,6.79E-05,2508.597887,2546.168,1.051560328,1.616632223
4/15/2024,-105.0248846,1.432307725,20240415,3,0.00254623,60.2269,-47.3,15.999,35.17,4/15/2024,-76.5534716,7.752835873,8,35.17,15.999,1,0,3.45E-05,951.0932646,954.5003558,951.0932646,954.5003558,951.0932646,954.5003687,0.002300827,0.000100933,2436.302313,2546.23,1.548074295,2.404596479
4/15/2024,-105.0248846,1.432307725,20240415,4,0.002546216,60.2,-28.9,19.902,35.63,4/15/2024,-76.49904391,7.437273284,8,35.63,19.902,1,0,6.81E-05,2103.818071,2111.003481,2103.818071,2111.003481,2103.818071,2111.003539,0.002401639,5.97E-05,2529.455664,2546.216,0.924116121,1.42093712
4/15/2024,-105.0248846,1.432307725,20240415,5,0.002532802,60.3954,-34.9,20.08,35.63,4/15/2024,-76.61076391,7.540844356,8,35.63,20.08,1,0,5.24E-05,1624.814194,1630.348336,1624.814194,1630.348336,1624.814194,1630.34837,0.002351722,7.47E-05,2478.764823,2532.802,1.157039825,1.778257933
4/15/2024,-105.0248846,1.432307725,20240415,6,0.002542581,59.678,-27.8,16.351,35.62,4/15/2024,-76.4417516,7.418149669,8,35.62,16.351,1,0,7.76E-05,2164.961453,2172.69295,2164.961453,2172.69295,2164.961453,2172.693017,0.002420162,5.03E-05,2548.08167,2542.581,0.770320815,1.194813971
4/15/2024,-105.0248846,1.432307725,20240415,7,0.002536453,60.03,-39.3,16.418,35.6,4/15/2024,-76.28563006,7.615263775,8,35.6,16.418,1,0,4.78E-05,1335.268906,1340.028979,1335.268906,1340.028979,1335.268906,1340.029004,0.002348897,7.70E-05,2473.704899,2536.453,1.179912127,1.829882579
4/15/2024,-105.0248846,1.432307725,20240415,8,0.002542442,60.367,-35.3,16.225,35.62,4/15/2024,-76.44891314,7.547132608,8,35.62,16.225,1,0,5.69E-05,1581.353534,1587.006187,1581.353534,1587.006187,1581.353534,1587.006222,0.002381069,6.63E-05,2504.259614,2542.442,1.014712014,1.574332409
4/15/2024,-105.0248846,1.432307725,20240415,9,0.002653979,59.8003,-42.8,20.473,35.6,4/15/2024,-76.55776853,7.676461574,8,35.6,20.473,1,0,3.88E-05,1216.515703,1220.637078,1216.515703,1220.637078,1216.515703,1220.637097,0.002400013,0.000105624,2544.42533,2653.979,1.639028632,2.51652364
4/15/2024,-105.0248846,1.432307725,20240415,10,0.002549672,59.865,-32.9,16.573,35.61,4/15/2024,-76.63797776,7.506487671,8,35.61,16.573,1,0,6.25E-05,1754.245763,1760.49012,1754.245763,1760.49012,1754.245763,1760.490163,0.002399773,6.16E-05,2523.894629,2549.672,0.944514077,1.46427009
4/15/2024,-105.0248846,1.432307725,20240415,11,0.002539795,60.2508,-39.3,20.028,35.62,4/15/2024,-76.60503468,7.616485464,8,35.62,20.028,1,0,4.36E-05,1350.361955,1354.962859,1350.361955,1354.962859,1350.361955,1354.962883,0.002327052,8.78E-05,2458.400459,2539.795,1.359601493,2.089888501
4/15/2024,-105.0248846,1.432307725,20240415,12,0.002541123,59.7392,-21.8,15.973,35.64,4/15/2024,-76.37300083,7.314826729,8,35.64,15.973,1,0,0.000100325,2767.451933,2777.389031,2767.451933,2777.389031,2767.451933,2777.389141,0.00244495,3.95E-05,2584.775908,2541.123,0.604231283,0.937979619
4/15/2024,-105.0248846,1.432307725,20240415,13,0.002553347,59.8885,-49.7,20.137,35.68,4/15/2024,-75.90750082,7.79265329,8,35.68,20.137,1,0,2.79E-05,868.4504615,871.403794,868.4504615,871.403794,868.4504615,871.4038039,0.002244036,0.00012767,2399.640563,2553.347,1.977750696,3.038950154
4/15/2024,-105.0248846,1.432307725,20240415,14,0.002542994,60.1856,-47.6,16.323,35.61,4/15/2024,-76.05932544,7.757037954,8,35.61,16.323,1,0,3.37E-05,938.7754367,942.1245995,938.7754367,942.1245995,938.7754367,942.124612,0.002290425,0.00010375,2427.86117,2542.994,1.588768659,2.46446663
4/15/2024,-105.0248846,1.432307725,20240415,15,0.002547727,59.9362,-49.2,16.139,35.71,4/15/2024,-76.10086236,7.784927454,8,35.71,16.139,1,0,3.16E-05,875.4030893,878.533221,875.4030893,878.533221,875.4030893,878.533232,0.00228076,0.00010964,2421.965997,2547.727,1.677162192,2.602328924
4/15/2024,-105.0248846,1.432307725,20240415,17,0.002551945,60.178,-48.5,19.865,35.67,4/15/2024,-76.13237313,7.772935384,8,35.67,19.865,1,0,2.96E-05,912.7242944,915.8388716,912.7242944,915.8388716,912.7242944,915.8388826,0.002257577,0.000121465,2408.623593,2551.945,1.87995894,2.890779073
4/15/2024,-105.0248846,1.432307725,20240415,18,0.002541581,60.115,-47.6,16.49,35.58,4/15/2024,-76.00919467,7.756766501,8,35.58,16.49,1,0,3.36E-05,939.4938737,942.8385358,939.4938737,942.8385358,939.4938737,942.8385483,0.002288043,0.000104169,2425.764075,2541.581,1.596195507,2.475138084
4/15/2024,-105.0248846,1.432307725,20240415,19,0.002546183,59.9026,-50.2,20.126,35.66,4/15/2024,-75.91323005,7.801216516,8,35.66,20.126,1,0,2.73E-05,847.0832243,849.9642181,847.0832243,849.9642181,847.0832243,849.9642274,0.002232464,0.000129428,2389.150983,2546.183,2.005172018,3.081257314
4/22/2024,-103.0167942,1.322043845,20240422,1,0.002476825,59.7889,-29.9,19.815,35.83,4/22/2024,-75.01458356,7.443346557,8,35.83,19.815,1,0,6.53E-05,2013.63712,2020.521278,2013.63712,2020.521278,2013.63712,2020.521331,0.002333389,5.89E-05,2457.566236,2476.825,0.910214901,1.39950632
4/22/2024,-103.0167942,1.322043845,20240422,2,0.002472047,60.1548,-34.8,20.036,35.8,4/22/2024,-75.17983904,7.528041065,8,35.8,20.036,1,0,5.27E-05,1634.79585,1640.367102,1634.79585,1640.367102,1634.79585,1640.367137,0.002298949,7.10E-05,2422.687096,2472.047,1.09927344,1.689286657
4/22/2024,-103.0167942,1.322043845,20240422,3,0.002474111,59.5574,-44.8,15.977,35.81,4/22/2024,-75.32394182,7.700180144,8,35.81,15.977,1,0,3.81E-05,1051.304547,1055.072093,1051.304547,1055.072093,1051.304547,1055.072109,0.002256393,8.89E-05,2383.352455,2474.111,1.358354445,2.108160732
4/22/2024,-103.0167942,1.322043845,20240422,4,0.002476755,60.205,-40.2,19.904,34.44,4/22/2024,-75.16529656,7.617376691,8,34.44,19.904,1,0,4.30E-05,1320.307068,1324.812366,1320.307068,1324.812366,1320.307068,1324.812389,0.002274706,8.33E-05,2401.024935,2476.755,1.298686737,2.000578094
4/22/2024,-103.0167942,1.322043845,20240422,5,0.002472641,60.1884,-38.5,20.114,35.8,4/22/2024,-75.34509452,7.592311252,8,35.8,20.114,1,0,4.49E-05,1395.034063,1399.782328,1395.034063,1399.782328,1395.034063,1399.782354,0.002273565,8.17E-05,2400.137355,2472.641,1.264571523,1.942908
4/22/2024,-103.0167942,1.322043845,20240422,6,0.00247062,59.8369,-27.2,16.286,35.8,4/22/2024,-75.26180576,7.398252527,8,35.8,16.286,1,0,7.91E-05,2204.514188,2212.393751,2204.514188,2212.393751,2204.514188,2212.39382,0.002355938,4.68E-05,2481.895186,2470.62,0.716556286,1.111326504
4/22/2024,-103.0167942,1.322043845,20240422,7,0.002468942,59.8395,-43.5,16.203,35.85,4/22/2024,-74.84139582,7.675293001,8,35.85,16.203,1,0,4.02E-05,1117.141433,1121.133777,1117.141433,1121.133777,1117.141433,1121.133795,0.002260919,8.49E-05,2386.007586,2468.942,1.298074714,2.013473025
4/22/2024,-103.0167942,1.322043845,20240422,8,0.002471076,59.9369,-32.4,16.216,35.79,4/22/2024,-75.16794064,7.486844963,8,35.79,16.216,1,0,6.40E-05,1778.829231,1785.189893,1778.829231,1785.189893,1778.829231,1785.189938,0.002332233,5.67E-05,2452.908927,2471.076,0.867231137,1.345244204
4/22/2024,-103.0167942,1.322043845,20240422,9,0.002475546,60.0045,-48,20.298,35.78,4/22/2024,-75.25387349,7.754541088,8,35.78,20.298,1,0,2.97E-05,927.9412472,931.0907894,927.9412472,931.0907894,927.9412472,931.0908007,0.002194578,0.000115318,2339.596164,2475.546,1.78630087,2.743244773
4/22/2024,-103.0167942,1.322043845,20240422,10,0.002472052,60.3902,-35.9,16.268,35.72,4/22/2024,-75.30278912,7.5473464,8,35.72,16.268,1,0,5.52E-05,1535.97087,1541.458038,1535.97087,1541.458038,1535.97087,1541.458072,0.002313703,6.47E-05,2433.567071,2472.052,0.989889962,1.535468229
4/22/2024,-103.0167942,1.322043845,20240422,11,0.002469367,60.3645,-40.7,20.108,35.8,4/22/2024,-75.28295846,7.629673203,8,35.8,20.108,1,0,4.08E-05,1269.102969,1273.422312,1269.102969,1273.422312,1269.102969,1273.422333,0.002254227,8.83E-05,2383.318736,2469.367,1.366120076,2.098961872
4/22/2024,-103.0167942,1.322043845,20240422,12,0.002470685,59.8289,-25.7,16.078,35.8,4/22/2024,-75.18909335,7.372201881,8,35.8,16.078,1,0,8.47E-05,2344.727406,2353.131509,2344.727406,2353.131509,2344.727406,2353.131587,0.002363182,4.39E-05,2491.748548,2470.685,0.671179144,1.04144269
4/22/2024,-103.0167942,1.322043845,20240422,13,0.00246943,59.9171,-61.7,20.237,35.7,4/22/2024,-74.60210588,7.984914446,8,35.7,20.237,1,0,1.62E-05,504.7038031,506.4173059,504.7038031,506.4173059,504.7038031,506.4173092,0.002029219,0.000180498,2225.904688,2469.43,2.796760814,4.296170037
4/22/2024,-103.0167942,1.322043845,20240422,14,0.002468373,60.0005,-51,16.247,35.78,4/22/2024,-74.85726034,7.803589889,8,35.78,16.247,1,0,2.90E-05,808.1768164,811.0624096,808.1768164,811.0624096,808.1768164,811.0624188,0.002196797,0.000110871,2336.706147,2468.373,1.695805043,2.630371224
4/22/2024,-103.0167942,1.322043845,20240422,15,0.002464804,60.2624,-53.4,16.3,35.75,4/22/2024,-74.89031144,7.844798434,8,35.75,16.3,1,0,2.61E-05,726.1785067,728.7693511,726.1785067,728.7693511,726.1785067,728.7693586,0.002169474,0.000120553,2316.082171,2464.804,1.844474636,2.860737357
4/22/2024,-103.0167942,1.322043845,20240422,17,0.002467021,59.8227,-49.8,19.99,35.75,4/22/2024,-74.93393888,7.78343228,8,35.75,19.99,1,0,2.77E-05,858.0797758,861.0031497,858.0797758,861.0031497,858.0797758,861.0031594,0.002173014,0.000120556,2321.27315,2467.021,1.865771928,2.867722045
4/22/2024,-103.0167942,1.322043845,20240422,18,0.002472724,59.9624,-65.5,16.077,35.87,4/22/2024,-74.82949742,8.051795087,8,35.87,16.077,1,0,1.52E-05,421.1672557,422.6736205,421.1672557,422.6736205,421.1672557,422.6736231,0.0020301,0.000180638,2225.94028,2472.724,2.760204351,4.282533962
4/22/2024,-103.0167942,1.322043845,20240422,19,0.002474146,59.7325,-54.8,20.355,35.8,4/22/2024,-74.67349625,7.867556218,8,35.8,20.355,1,0,2.21E-05,691.5112578,693.8560383,691.5112578,693.8560383,691.5112578,693.8560445,0.002120844,0.000144942,2287.882086,2474.146,2.245347461,3.447598194
