,X,TrisCalDate,X.Intercept.,TTris,date,SampleID,TA,Mass,mV,TempInSitu,Salinity_lab,Sampling_Date,mVTris,pH,flag,S,T,Patm,P,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1,1,5/20/2024,-102.3527387,1.626227068,20240521,TANK1,0.002282773,59.6466,-20.8,15.8,33.67,5/21/2024,-68.52721565,7.404826574,8,33.67,15.8,1,0,7.42E-05,2014.977281,2022.222282,2014.977281,2022.222282,2014.977281,2022.22234,0.002181188,4.12E-05,2296.574183,2282.773,0.635653982,0.99033837
2,2,5/20/2024,-102.3527387,1.626227068,20240521,TANK2,0.002315221,59.9102,-23.8,16.2,33.77,5/21/2024,-68.36459294,7.456345393,8,33.77,16.2,1,0,6.58E-05,1807.887088,1814.353172,1807.887088,1814.353172,1807.887088,1814.353218,0.002198223,4.75E-05,2311.530982,2315.221,0.734662618,1.143342786
3,3,5/20/2024,-102.3527387,1.626227068,20240521,TANK3,0.002322566,60.2816,-17.9,19.6,33.78,5/21/2024,-68.36459294,7.355246272,8,33.78,19.6,1,0,7.76E-05,2353.112088,2361.181493,2353.112088,2361.181493,2353.112088,2361.181566,0.002216773,4.32E-05,2337.605381,2322.566,0.675435183,1.042572003
4,4,5/20/2024,-102.3527387,1.626227068,20240521,TANK4,0.002316799,60.4098,-25.5,19.7,33.74,5/21/2024,-68.36459294,7.485416078,8,33.74,19.7,1,0,5.64E-05,1713.093361,1718.956437,1713.093361,1718.956437,1713.093361,1718.956476,0.002176174,5.74E-05,2289.943554,2316.799,0.897843815,1.385626616
5,5,5/20/2024,-102.3527387,1.626227068,20240521,TANK5,0.002311654,60.0197,-12.9,16.2,33.69,5/21/2024,-68.36459294,7.269352819,8,33.69,16.2,1,0,0.000102917,2827.392048,2837.515943,2827.392048,2837.515943,2827.392048,2837.516057,0.00223452,3.14E-05,2368.788884,2311.654,0.484790907,0.754588969
6,6,5/20/2024,-102.3527387,1.626227068,20240521,TANK6,0.002320114,59.6509,-25.7,16,33.75,5/21/2024,-68.36459294,7.488865874,8,33.75,16,1,0,6.12E-05,1673.005334,1679.003259,1673.005334,1679.003259,1673.005334,1679.003299,0.002195226,5.07E-05,2307.208771,2320.114,0.78392981,1.22061361
7,7,5/20/2024,-102.3527387,1.626227068,20240521,TANK7,0.002309095,60.1383,-33.6,19.8,33.71,5/21/2024,-68.52721565,7.624370471,8,33.71,19.8,1,0,3.98E-05,1212.667048,1216.809905,1212.667048,1216.809905,1212.667048,1216.809924,0.002119762,7.72E-05,2236.79264,2309.095,1.208657032,1.86493123
8,8,5/20/2024,-102.3527387,1.626227068,20240521,TANK8,0.002309518,59.8458,-36.6,19.7,33.71,5/21/2024,-68.36459294,7.675595009,8,33.71,19.7,1,0,3.51E-05,1066.656443,1070.304422,1066.656443,1070.304422,1066.656443,1070.304437,0.002099293,8.57E-05,2220.137605,2309.518,1.341283107,2.070101577
9,9,5/20/2024,-102.3527387,1.626227068,20240521,TANK9,0.002314786,60.0716,-20.7,19.9,33.74,5/21/2024,-68.52721565,7.403265951,8,33.74,19.9,1,0,6.84E-05,2091.788873,2098.933278,2091.788873,2098.933278,2091.788873,2098.933336,0.002196461,4.83E-05,2313.220233,2314.786,0.756252908,1.166511851
10,10,5/20/2024,-102.3527387,1.626227068,20240521,TANK10,0.002305845,59.9405,-18.6,20,33.71,5/21/2024,-68.20197024,7.366984068,8,33.71,20,1,0,7.43E-05,2275.896261,2283.66142,2275.896261,2283.66142,2275.896261,2283.661488,0.002196623,4.46E-05,2315.477829,2305.845,0.698187855,1.076732956
11,11,5/20/2024,-102.3527387,1.626227068,20240521,TANK11,0.002312706,60.18,-14,16.3,33.73,5/21/2024,-68.20197024,7.288214497,8,33.73,16.3,1,0,9.82E-05,2705.4879,2715.161756,2705.4879,2715.161756,2705.4879,2715.16186,0.00223186,3.29E-05,2362.887396,2312.706,0.508175893,0.790747395
12,12,5/20/2024,-102.3527387,1.626227068,20240521,TANK12,0.002313196,59.5927,-29.9,20.1,33.73,5/21/2024,-68.20197024,7.56063465,8,33.73,20.1,1,0,4.63E-05,1424.285933,1429.134767,1424.285933,1429.134767,1424.285933,1429.134794,0.002145864,6.83E-05,2260.522986,2313.196,1.07009456,1.649787726
13,13,5/20/2024,-102.3527387,1.626227068,20240521,TANK13,0.002315783,59.6275,-26.2,16.6,33.73,5/21/2024,-68.20197024,7.497241281,8,33.73,16.6,1,0,5.90E-05,1641.027663,1646.866286,1641.027663,1646.866286,1641.027663,1646.866323,0.002186181,5.27E-05,2297.884439,2315.783,0.815502197,1.268093529
14,14,5/20/2024,-102.3527387,1.626227068,20240521,TANK14,0.002300695,60.0479,-46.4,19.7,33.69,5/21/2024,-68.03934753,7.842979167,8,33.69,19.7,1,0,2.28E-05,693.0704579,695.4397681,693.0704579,695.4397681,693.0704579,695.4397744,0.00200531,0.000120361,2148.48021,2300.695,1.883013551,2.90630978
15,15,5/20/2024,-102.3527387,1.626227068,20240521,TANK15,0.002313354,60.0176,-21.9,20.1,33.69,5/21/2024,-68.36459294,7.423605345,8,33.69,20.1,1,0,6.48E-05,1992.196608,1998.983187,1992.196608,1998.983187,1992.196608,1998.983239,0.002189023,5.08E-05,2304.645493,2313.354,0.7956521,1.226771481
16,16,5/20/2024,-102.3527387,1.626227068,20240521,TANK17,0.002310229,60.4232,-36.5,16.3,33.69,5/21/2024,-68.36459294,7.673837221,8,33.69,16.3,1,0,3.84E-05,1059.337082,1063.117965,1059.337082,1063.117965,1059.337082,1063.117981,0.002123358,7.59E-05,2237.704029,2310.229,1.173994862,1.826937828
17,17,5/20/2024,-102.3527387,1.626227068,20240521,TANK18,0.002305729,59.9279,-23.3,16.3,33.69,5/21/2024,-68.20197024,7.447466997,8,33.69,16.3,1,0,6.68E-05,1841.044531,1847.621128,1841.044531,1847.621128,1841.044531,1847.621176,0.002191205,4.65E-05,2304.529624,2305.729,0.719375871,1.119472523
18,18,5/20/2024,-102.3527387,1.626227068,20240521,TANK19,0.002309724,60.0906,-30.4,16.1,33.76,5/21/2024,-68.20197024,7.569267075,8,33.76,16.1,1,0,5.00E-05,1369.501642,1374.403607,1369.501642,1374.403607,1369.501642,1374.403634,0.002161051,6.04E-05,2271.385462,2309.724,0.93268176,1.451872372
19,19,5/27/2024,-99.49672083,1.48774003,20240528,TANK1,0.002404424,59.5589,-22.7,16.2,34.34,5/28/2024,-68.25418021,7.437727507,8,34.34,16.2,1,0,7.11E-05,1959.820868,1966.83154,1959.820868,1966.83154,1959.820868,1966.831595,0.002286856,4.80E-05,2405.943678,2404.424,0.739964119,1.15038798
20,20,5/27/2024,-99.49672083,1.48774003,20240528,TANK2,0.002400291,60.4318,-31.3,16.1,34.41,5/28/2024,-68.40295421,7.585650292,8,34.41,16.1,1,0,4.96E-05,1363.557647,1368.438304,1363.557647,1368.438304,1363.557647,1368.438331,0.002238707,6.59E-05,2354.212508,2400.291,1.015452812,1.578843069
21,21,5/27/2024,-99.49672083,1.48774003,20240528,TANK3,0.002406438,59.9641,-20.2,20.1,34.46,5/28/2024,-68.40295421,7.395517357,8,34.46,20.1,1,0,7.17E-05,2211.454055,2218.989416,2211.454055,2218.989416,2211.454055,2218.98948,0.002283246,5.06E-05,2405.476909,2406.438,0.788736727,1.214358443
22,22,5/27/2024,-99.49672083,1.48774003,20240528,TANK4,0.002424946,59.9431,-34.8,20.1,34.47,5/28/2024,-68.40295421,7.64577162,8,34.47,20.1,1,0,3.90E-05,1204.397286,1208.496514,1204.397286,1208.496514,1204.397286,1208.496533,0.002212643,8.72E-05,2338.866962,2424.946,1.360257917,2.094249966
23,23,5/27/2024,-99.49672083,1.48774003,20240528,TANK5,0.00240677,60.423,-21.9,16.4,34.37,5/28/2024,-68.55172821,7.424817578,8,34.37,16.4,1,0,7.30E-05,2025.606799,2032.835037,2025.606799,2032.835037,2025.606799,2032.835095,0.0022915,4.71E-05,2411.607136,2406.77,0.726085192,1.128238506
24,24,5/27/2024,-99.49672083,1.48774003,20240528,TANK6,0.002415259,59.6215,-34.6,16.1,34.36,5/28/2024,-68.55172821,7.642536709,8,34.36,16.1,1,0,4.34E-05,1192.769195,1197.037728,1192.769195,1197.037728,1192.769195,1197.037749,0.002232058,7.48E-05,2350.281579,2415.259,1.15308205,1.792986426
25,25,5/27/2024,-99.49672083,1.48774003,20240528,TANK7,0.002403177,59.825,-39.5,20.1,34.38,5/28/2024,-68.55172821,7.726591959,8,34.38,20.1,1,0,3.16E-05,973.7926092,977.1060976,973.7926092,977.1060976,973.7926092,977.10611,0.002154337,0.000102041,2287.954161,2403.177,1.592783782,2.452634235
26,26,5/27/2024,-99.49672083,1.48774003,20240528,TANK8,0.0024115,59.8434,-37.9,20,34.46,5/28/2024,-68.55172821,7.69933919,8,34.46,20,1,0,3.40E-05,1046.356302,1049.921427,1046.356302,1049.921427,1046.356302,1049.921441,0.002175967,9.66E-05,2306.588623,2411.5,1.506829787,2.320555771
27,27,5/27/2024,-99.49672083,1.48774003,20240528,TANK9,0.002399116,59.6912,-33.2,20.4,34.42,5/28/2024,-68.40295421,7.618237072,8,34.42,20.4,1,0,4.11E-05,1277.825109,1282.158419,1277.825109,1282.158419,1277.825109,1282.158441,0.002198817,8.21E-05,2322.047012,2399.116,1.283372305,1.974498734
28,28,5/27/2024,-99.49672083,1.48774003,20240528,TANK10,0.002405155,59.7573,-22.9,20.1,34.44,5/28/2024,-68.40295421,7.441748358,8,34.44,20.1,1,0,6.40E-05,1975.868934,1982.599767,1975.868934,1982.599767,1975.868934,1982.599819,0.002269021,5.59E-05,2388.924934,2405.155,0.871558272,1.341919487
29,29,5/27/2024,-99.49672083,1.48774003,20240528,TANK11,0.002406671,59.9103,-15.4,16.2,34.44,5/28/2024,-68.40295421,7.313204586,8,34.44,16.2,1,0,9.59E-05,2644.319905,2653.786361,2644.319905,2653.786361,2644.319905,2653.78646,0.00231705,3.66E-05,2449.504871,2406.671,0.563861238,0.876457393
30,30,5/27/2024,-99.49672083,1.48774003,20240528,TANK12,0.00239931,59.9126,-38.7,20.1,34.46,5/28/2024,-68.40295421,7.712591994,8,34.46,20.1,1,0,3.26E-05,1006.905747,1010.332036,1006.905747,1010.332036,1006.905747,1010.332049,0.002157437,9.91E-05,2289.203379,2399.31,1.546650679,2.381261384
31,31,5/27/2024,-99.49672083,1.48774003,20240528,TANK13,0.002413245,59.8898,-38.6,16.6,34.48,5/28/2024,-68.25418021,7.710460016,8,34.48,16.6,1,0,3.61E-05,1007.408477,1010.990212,1007.408477,1010.990212,1007.408477,1010.990226,0.002197677,8.81E-05,2321.823115,2413.245,1.35801906,2.108811649
32,32,5/27/2024,-99.49672083,1.48774003,20240528,TANK14,0.002411827,59.9969,-50.9,19.9,34.45,5/28/2024,-68.40295421,7.921667482,8,34.45,19.9,1,0,1.92E-05,588.7168499,590.7241743,588.7168499,590.7241743,588.7168499,590.7241788,0.002043955,0.000150817,2213.960854,2411.827,2.351505786,3.622380418
33,33,5/27/2024,-99.49672083,1.48774003,20240528,TANK15,0.002400259,60.2991,-25.3,20.1,34.39,5/28/2024,-68.55172821,7.483155339,8,34.39,20.1,1,0,5.78E-05,1782.793269,1788.865062,1782.793269,1788.865062,1782.793269,1788.865104,0.002251772,6.09E-05,2370.482585,2400.259,0.95062111,1.463779717
34,34,5/27/2024,-99.49672083,1.48774003,20240528,TANK17,0.00240907,60.0759,-48.1,16.2,34.41,5/28/2024,-68.40295421,7.873588341,8,34.41,16.2,1,0,2.41E-05,663.4141703,665.7839151,663.4141703,665.7839151,663.4141703,665.7839214,0.00211229,0.000121169,2257.511144,2409.07,1.866973965,2.902145715
35,35,5/27/2024,-99.49672083,1.48774003,20240528,TANK18,0.002406689,60.2434,-30.4,16.1,34.36,5/28/2024,-68.40295421,7.57011334,8,34.36,16.1,1,0,5.17E-05,1420.718964,1425.804544,1420.718964,1425.804544,1420.718964,1425.804573,0.002250266,6.39E-05,2365.802438,2406.689,0.983932343,1.52996687
36,36,5/27/2024,-99.49672083,1.48774003,20240528,TANK19,0.002408149,59.7608,-34.1,16.1,34.4,5/28/2024,-68.25418021,7.633181341,8,34.4,16.1,1,0,4.43E-05,1216.839043,1221.193831,1216.839043,1221.193831,1216.839043,1221.193853,0.002228824,7.32E-05,2346.279747,2408.149,1.127692145,1.75338489
